                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1119,                 2.1588,                 1.3583,                0.04546,                0.93605,                0.68956,                0.43406,                 1.0716,                 2.7518,                 1.1484,                0.00044,                0.00044,                0.00044
                      2,                 1.0131,                 1.4605,                 1.2192,                0.61232,                0.52342,                0.61458,                0.31889,                 1.3797,                 2.4564,                 1.4138,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.0448,                 1.4692,                 1.2597,                0.52741,                0.36628,                0.39415,                0.21849,                 1.6778,                 2.6999,                 1.5895,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.1016,                 1.4529,                 1.3352,                0.50215,                0.64535,                0.56085,                 0.3162,                 1.3893,                  2.105,                 1.6553,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.2024,                 1.3495,                 1.3336,                0.60705,                 0.4186,                0.47492,                0.23049,                 2.0818,                 2.4354,                 2.7223,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0983,                 1.2309,                 1.2566,                0.50934,                0.69186,                0.58965,                0.36665,                 1.2097,                 2.1517,                 1.4127,               0.001901,               0.001901,               0.001901
                      7,                 1.0862,                 1.1412,                 1.2769,                0.64961,                0.59302,                0.65712,                 0.3792,                  1.438,                 2.2954,                 1.7125,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0193,                 1.0295,                 1.2411,                0.80659,                0.72093,                0.80266,                0.53185,                 1.2648,                 1.5832,                 1.4715,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0284,                0.94124,                 1.2357,                0.90657,                   0.75,                0.88264,                0.52935,                 1.2558,                 1.2226,                 1.4386,              0.0018416,              0.0018416,              0.0018416
                     10,                0.93073,                0.88715,                 1.1787,                0.71642,                0.67442,                0.74764,                0.46765,                 1.2914,                 1.5981,                 1.4452,              0.0018218,              0.0018218,              0.0018218
                     11,                0.98439,                0.88989,                 1.1991,                0.79777,                0.46512,                0.55444,                 0.2985,                 1.7045,                 2.1019,                 1.6976,               0.001802,               0.001802,               0.001802
